"RecNumbe","F1Age","F2Age","MarriedCouple","UnmarriedCouple","SingleFemale","SingleMale","F1White","F1Black","F1NativeAmer","F1Asian","F1HawaiiP","F1Hispanic","F2White","F2Black","F2NativeAmer","F2Asian","F2HawaiiP","F2Hispanic","SameRaces","KidNotWhParentWh","KidWhParentNotWh","OtherTrans","Adopt","prediction","score.0","score.1"
"262077000000",40,NA, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0,NA, 0, 0, 0, 1,1,"0",0.29260450,0.70739550
"262080000000",50,52, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,1,"1",0.83806344,0.16193656
"262081000000",39,43, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0,1,"1",0.83806344,0.16193656
"262081000000",56,58, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0,1,"1",0.83806344,0.16193656
"262081000000",39,43, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.71748087,0.28251913
"262081000000",56,58, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.71748087,0.28251913
"262087000000",45,50, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.71748087,0.28251913
"262089000000",56,56, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262100000000",49,46, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0,1,"1",0.83806344,0.16193656
"262100000000",49,46, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0,1,"1",0.83806344,0.16193656
"262100000000",49,46, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,1,"1",0.83806344,0.16193656
"262100000000",49,46, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,1,"1",0.83806344,0.16193656
"262101000000",46,NA, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0,NA, 0, 0, 0, 1,1,"0",0.29260450,0.70739550
"262103000000",48,46, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"0",0.44628099,0.55371901
"262104000000",50,NA, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0,NA, 0, 0, 0, 1,1,"0",0.29260450,0.70739550
"262105000000",38,39, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262106000000",47,NA, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,NA, 1, 0, 0, 0,1,"1",0.71748087,0.28251913
"262106000000",45,NA, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,NA, 1, 0, 0, 0,1,"1",0.71748087,0.28251913
"262106000000",47,NA, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,NA, 1, 0, 0, 0,1,"1",0.71748087,0.28251913
"262106000000",45,NA, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,NA, 1, 0, 0, 0,1,"1",0.71748087,0.28251913
"262107000000",38,39, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0,1,"1",0.83806344,0.16193656
"262107000000",49,NA, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0,1,"1",0.83806344,0.16193656
"262107000000",38,39, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0,NA, 0, 0, 0, 1,1,"0",0.29260450,0.70739550
"262107000000",49,NA, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0,NA, 0, 0, 0, 1,1,"0",0.29260450,0.70739550
"262108000000",49,51, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,1,"1",0.83806344,0.16193656
"262108000000",49,48, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,1,"1",0.83806344,0.16193656
"262108000000",49,48, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,1,"1",0.83806344,0.16193656
"262108000000",49,48, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,1,"1",0.83806344,0.16193656
"262108000000",49,51, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262108000000",49,48, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262108000000",49,48, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262108000000",49,48, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262108000000",49,51, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262108000000",49,48, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262108000000",49,48, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262108000000",49,48, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262108000000",49,51, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262108000000",49,48, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262108000000",49,48, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262108000000",49,48, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262111000000",34,NA, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0,NA, 1, 0, 0, 0,1,"0",0.44628099,0.55371901
"262113000000",63,54, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262113000000",61,NA, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262113000000",63,54, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0,NA, 0, 0, 0, 1,1,"1",0.98648649,0.01351351
"262113000000",61,NA, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0,NA, 0, 0, 0, 1,1,"1",0.98648649,0.01351351
"262114000000",50,37, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262114000000",51,52, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262114000000",50,37, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.71748087,0.28251913
"262114000000",51,52, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.71748087,0.28251913
"262116000000",45,40, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,1,"1",0.83806344,0.16193656
"262117000000",55,53, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262117000000",49,NA, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262117000000",55,53, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,NA, 1, 0, 0, 0,1,"1",0.71748087,0.28251913
